company_id,created_date
"b69ef366cbf3fd4","2019-10-17"
"b6d3f2ca966c0bc","2019-12-02"
"a8211e7f26f8a28","2019-09-20"
"35785331fa5ac4f","2019-08-14"
"5b272c0f376264f","2019-09-09"
"e78268e3ce3e13c","2019-09-28"
"fe5bec0a55fd4c5","2019-09-24"
"18b50132f58c147","2019-12-12"
"052b0196e386a57","2019-07-02"
"cad601479b4cc5c","2019-11-26"
"da46fa2daf5c10c","2019-08-02"
"bbd4b01c24d8691","2019-11-07"
"d4e7e8968e3e3f4","2019-09-19"
"f2e5196ff909fc5","2019-08-30"
"4025c53a124cdc9","2019-12-23"
"f31b02a4f897c2f","2019-09-17"
"b81290c009e1742","2019-11-05"
"c530cf31f76059d","2019-09-05"
"34d2aa77c5dc1c6","2019-08-20"
"3cfa83040a86e80","2019-08-14"
"4b6b3bfe418ec1d","2019-12-20"
"2f836e7a1780af8","2019-07-18"
"7066ddc0cde1c2a","2019-09-16"
"85d3866e651cd38","2019-11-16"
"955b4e5272d543b","2019-09-18"
"f619fe3e235fda0","2019-11-04"
"b03475aa75c70d0","2019-09-23"
"f469e375bdb0ad5","2019-12-20"
"3077410d27eac25","2019-11-12"
"1799facd9faf756","2019-10-16"
"6159d4cc721edec","2019-08-07"
"f92e5790144ceb9","2019-09-16"
"fddb95ff5e727f3","2019-10-16"
"d451d59b3d8046d","2019-09-27"
"ed3bd37645704d9","2019-09-23"
"1ecd896ee2d0317","2019-08-23"
"620a52e2a0a70a6","2019-09-17"
"294b9ae2be5ba37","2019-08-05"
"627bca2fd386027","2019-10-02"
"90d8742d60bb936","2019-11-18"
"99f6026b35b99b6","2019-11-12"
"58f1bdd1ee29552","2019-08-14"
"ffa46abab15ab43","2019-09-05"
"3f1d0c5d9fb5a46","2019-11-13"
"5e2b7e27a3231ee","2019-09-13"
"04c7d15834c0fad","2019-10-10"
"41e325e7b2e789a","2019-12-03"
"51ca6d5118d2a44","2019-10-17"
"a6e54b1400474b6","2019-12-05"
"6473793afdfa821","2019-11-12"
"7111ef9ad69dafb","2019-12-30"
"21af3e191978c5f","2019-12-02"
"819093c136858e8","2019-11-16"
"fefa1afc32508bf","2019-12-17"
"810480aa4cc3b14","2019-10-15"
"bdaaa98d42c9b59","2019-08-02"
"2748db8a4246e7b","2019-11-25"
"a01553623b6a380","2019-09-27"
"9dbddaea2b2c96f","2019-07-03"
"ae8fff7c340197b","2019-07-02"
"c395d6779295c42","2019-10-16"
